Y         X1          X2
1       0.393     -0.283
1       1.302      1.152
1      -0.594     -1.147
1       0.436      0.674
1      -0.504     -0.669
0       0.102     -0.400
1       1.196     -0.672
1       0.120      0.576
1      -1.037     -0.778
0      -0.857     -1.064
1      -0.170      0.553
1      -0.192     -0.423
1      -0.866      0.362
1       0.181     -0.352
1       1.267      0.270
0      -0.251     -2.564
1      -0.205      0.466
1      -2.202      1.854
1      -0.775      1.039
1      -1.393      0.911
1      -0.386     -0.240
1       0.526      0.181
0       1.523      0.244
0       1.798      0.096
1      -0.117     -0.830
0      -0.320     -0.352
1       0.818     -0.175
1       0.490     -0.481
0       0.765      0.837
1       0.778      2.538
0      -1.480     -1.323
1       0.540      0.128
0      -0.092     -1.442
1      -0.760      1.303
1      -0.694      1.410
0       1.281     -1.663
1      -0.810      1.944
0      -1.237     -1.085
1       0.215      0.227
0       2.011      1.099
0       0.026      0.147
1       0.308      2.296
1      -0.938      2.753
0       1.674      0.138
0       0.125     -1.907
1       0.530     -0.365
1      -0.952     -0.848
0       0.854     -0.765
0       0.389     -1.128
1      -1.156      0.078
1       0.040      2.107
0      -0.451     -0.716
0       0.109     -0.281
1      -0.251      1.166
1      -0.190      1.213
1      -1.033      0.486
0      -0.323      1.026
1       0.767      0.871
0       1.745     -0.382
1      -1.161      0.429
0       2.377     -0.299
0       1.526     -0.900
1       0.169      0.635
1      -0.301      0.067
1      -0.699     -0.187
1       0.833      0.292
1      -0.695      0.988
1      -0.462      0.393
1       0.884      0.195
1       0.436      0.280
0       0.897      0.051
0       0.505     -0.774
1      -0.401      0.787
1      -0.514      1.409
1       0.796     -0.534
1      -0.671      1.928
1       1.187     -0.176
0       0.791     -0.244
1       0.288     -0.898
0       0.003     -0.792
0       0.366     -0.953
0       3.527      0.354
1      -0.112      1.597
1      -1.557      0.527
1       1.915      0.854
0       0.610      1.342
1      -0.648     -2.500
0       2.617     -0.168
1       0.551      0.353
1       0.294      0.717
0      -0.778     -1.305
0      -1.065     -1.006
1      -1.768      0.791
1      -0.423     -0.117
1      -1.053      0.553
1       0.648     -0.961
1      -0.318     -1.634
0       1.769      0.761
1       1.511      1.193
1       0.164      1.632
